address,beds,baths,sqft,lotAreaValue,log_price,Bathroom Information_# of Full Baths,Bathroom Information_# of Bathroom Fixtures,Heating & Cooling_Heating Type,Fireplace Information_# of Fireplaces,Fireplace Information_Fireplace Type,Exterior Information_Physical Condition,Exterior Information_Foundation Type,Exterior Information_Construction Type,Exterior Information_Exterior Wall,Exterior Information_Building Type,Property Information_Subdivision Name,Property Information_Living Sq. Ft,Property Information_Building Sq. Ft,Property Information_# of Stories,Property Information_Stories Type,Property Information_Legal Description,Parking & Garage Information_Parking Type,Parking & Garage Information_Garage/Parking Sq. Ft,Parking & Garage Information_Garage / Carport Type,Lot Information_# of Buildings,Lot Information_Land Sq. Ft,Lot Information_Legal Lot Number,Lot Information_School Tax District,Lot Information_Municipality Name,Lot Information_Acres,Lot Information_State Use Description,Assessor Information_Assessment Year,Assessor Information_Tax District County,Basement Information_Basement Type,Heating & Cooling_Heating Fuel Type,Room Information_# of Rooms,Exterior Information_Building Style Type,Property Information_Ground Floor Sq. Ft,Lot Information_Legal Block Number,Lot Information_Depth Footage,Lot Information_Front Footage,Lot Information_County Use Description,Utility Information_Electricity / Wiring Type,Basement Information_Basement Sq. Ft,Bathroom Information_# of 1/2 Baths,Heating & Cooling_Air Conditioning Type,Utility Information_Sewer Type,Utility Information_Water Service Type,Basement Information_Basement Finish,Exterior Information_Building Improvement Type,Parking & Garage Information_# of Parking Spaces,Lot Information_Zoning Code,Exterior Information_Roof Covering Type,Exterior Information_Roof Shape Type,Pool Information_Pool Type
"2887 Maureen Ct, Loveland, OH 45140",3.0,2.0,1269.0,0.1963,12.611537753638338,2,8,Heat Pump,1,1 Opening,Very Good,Concrete,Brick,Masonry,Single Family,WHITE PINES 1,"1,269","1,752",1,1,WHITE PINES 1 LOT# 25,Attached Garage,483,Attached,1,"8,551",25,LOVELAND CITY,DEERFIELD TWP,0.2,SINGLE FAMILY DWELLING,2022,KINGS LSD,,,,,,,,,,,,,,,,,,,,,,
"218 Oneida Dr, Loveland, OH 45140",3.0,1.0,925.0,8059.0,12.292250341771226,1,,,,,Good,Concrete,Frame,Frame Siding,,LOVELAND HEIGHTS,925,925,1,1,ONEIDA DR 60 X 134.35 LOT 83 LOVELAND HTS 1ST BLK A,,,,1,"8,059",83,,LOVELAND CITY,0.185,SINGLE FAMILY,2022,,Finished,Gas,5,Conventional,925,A,134.35,60,RESID-SINGLE FAMILY,Connected,,,,,,,,,,,,
"1322 Bedfordshire Dr, Loveland, OH 45140",4.0,4.0,2914.0,0.6900000000000001,13.190022025878143,2,10,Central,1,Prefab,Average,,,Brick,Residential,BELMONT PLACE,"2,914","3,490",2,,BELMONT PLACE LOT 8,Masonry/Brick Garage,416,Masonry/Brick,1,"30,056",8,,MIAMI TWP,0.69,SINGLE FAMILY,2022,,Full,Gas,8,Colonial,954,,,,,Available,576,1,Central,Public,Public,,,,,,,
"1069 Oasis Point Dr, Loveland, OH 45140",4.0,5.0,5101.0,0.562,13.652991628466498,4,16,Central,2,Prefab,Average,,,Brick,Residential,OASIS POINTE,"5,101","5,344",2,,OASIS POINTE LOT 29,Masonry/Brick Garage,664,Masonry/Brick,1,"24,481",29,,MIAMI TWP,0.562,SINGLE FAMILY,2022,,Full,,11,Colonial,"1,621",,,,,,"1,643",1,Central,Public,Public,Finished,,,,,,
"9848 Maineville Rd, Loveland, OH 45140",3.0,2.0,1880.0,4.2378,13.400449556182663,2,8,Forced Air,1,1 Opening,Good,Concrete,Frame,Wood Siding,Single Family,HOFT ESTATES,"1,880","2,540",1,1,HOFT ESTATES LOT# 2,Attached Garage,"1,044",Attached,1,"184,599",2,,HAMILTON TWP,4.2378,SINGLE FAMILY DWELLING,2022,LITTLE MIAMI LSD,,,,,,,,,,,,,,,,,Building,,,,,
"9149 Lawnview Ct, Loveland, OH 45140",4.0,4.0,2004.0,0.325,13.507625778194974,,,,,,,,,,,BROOKWOOD SUB,,,,,,,,,1,"14,157",4,,DEERFIELD TWP,0.325,SGL FAM DWG 0-9.99 AC,2022,,,,,,,,,,,,,,,,,,Building,,,,,
"10200 Murdock Goshen Rd, Loveland, OH 45140",3.0,3.0,3406.0,3.716,12.933621252807452,2,10,Forced Air,1,1 Opening,Good,Concrete Block,Frame,Aluminum/Vinyl,Single Family,MS 4248,"3,406","3,946",1,1,MS-4248 3.7160 AC.,Attached Garage,540,Attached,1,"161,869",,,HAMILTON TWP,3.716,SGL FAM DWG 0-9.99 AC,2022,LITTLE MIAMI LSD,Full,,,,,,,,,,"1,460",1,,,,Finished,Building,,,,,
"1646 Fairway Crst, Loveland, OH 45140",5.0,3.0,4435.0,0.431,13.42984807715229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1147 Clover Field Dr, Loveland, OH 45140",4.0,4.0,4130.0,0.5569999999999999,13.151922179645874,3,13,Central,,,Average,,,,Residential,WILLOW BROOK FARMS SEC 1,"4,130","4,130",2,,WILLOW BROOK FARMS SECTION 1 LOT 106,Frame Garage,400,Frame,1,"24,263",106,,MIAMI TWP,0.557,SINGLE FAMILY,2022,,Full,Wood,8,,"1,194",,,,,,"1,294",1,Central,,,Finished,,,,,,
"1375 Teal Ct, Loveland, OH 45140",3.0,2.0,1134.0,0.528,12.405333256381052,1,5,Central,,,Average,,,Brick,Residential,PRAY 3,"1,134","1,134",1,,PRAY 3 LOT 1,Masonry/Brick Garage,639,Masonry/Brick,1,"23,000",1,,GOSHEN TWP,0.528,SINGLE FAMILY,2022,,Full,,5,Ranch,"1,134",,,,,Available,,,Central,Public,Public,,,,,,,
"833 Miamiridge Dr, Loveland, OH 45140",4.0,2.5,3002.0,0.4589990817263544,13.349498949988076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"616 Wards Corner Rd, Loveland, OH 45140",2.0,2.0,1188.0,1.3,12.524526376648708,1,7,Central,1,Wood Stove,Average,,,Brick,Residential,LYTLES &amp; STEPHENSONS MILITAR,"1,188","1,188",1.5,,SPLIT SCH DIST SEE 172520F152.,Detached Frame Garage,768,Detached Frame,1,"47,698",,,MIAMI TWP,1.095,SINGLE FAMILY,2022,,Full,,5,Cape Cod,792,,,,,Available,,1,Central,Public,Public,,,,,,,
"1398 Fay Rd, Loveland, OH 45140",2.0,1.0,816.0,0.918,12.154252896800378,1,5,Central,,,Average,,,Aluminum/Vinyl,Residential,CEDAR LAKE 2,816,816,1,,CEDAR LAKE 2 LOT 26,Frame Garage,336,Frame,1,"39,988",26,,GOSHEN TWP,0.918,SINGLE FAMILY,2022,,Crawl-Space,Wood,4,Ranch,816,,,,,Available,,,,,,,,,,,,
"6533 Covey Ct, Loveland, OH 45140",3.0,3.0,1919.0,0.92,12.850554654108839,2,8,Central,1,Wood Stove,Average,,,Aluminum/Vinyl,Residential,WINDING WOODS,"1,919","1,919",1,,WINDING WOODS B LOT 8,Frame Garage,518,Frame,1,"40,075",8,,MIAMI TWP,0.92,SINGLE FAMILY,2022,,Full,,6,Ranch,"1,279",,,,,Available,640,,Central,Public,Public,Finished,,,,,,
